Deletion size,Max growth rate,Min production rate,Deleted genes,,
2,0.353897749137528,0.0279409893798857,PHATRDRAFT_draft521,PHATRDRAFT_42245,
2,0.353897749137527,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_11319,
2,0.353897749137527,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_19979,
2,0.353897749137528,0.027940989380926,PHATRDRAFT_draft521,PHATRDRAFT_23913,
2,0.353897749137527,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_55069,
2,0.353897749137528,0.0279409893808124,PHATRDRAFT_draft521,PHATRDRAFT_54478,
2,0.353897749137527,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_23723,
2,0.353897749137509,0.0279409893797959,PHATRDRAFT_draft521,PHATRDRAFT_35580,
2,0.353897749137527,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_31436,
2,0.353897749137527,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_41969,
3,0.353897749137637,0.0279409893836373,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_28181
3,0.353897749137528,0.0279409893808124,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_35580
3,0.353897749137343,0.0279409893798548,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_21970
3,0.353897749137529,0.027940989380812,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_51970
3,0.353897749137529,0.0279409893807951,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_28181
3,0.353897749137631,0.0279409893822538,PHATRDRAFT_54015,PHATRDRAFT_23913,PHATRDRAFT_21970
3,0.353897749137529,0.0279409893807951,PHATRDRAFT_54015,PHATRDRAFT_31436,PHATRDRAFT_28181
3,0.353897749137343,0.0279409893798548,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_21970
3,0.353897749137343,0.0279409893798548,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_21970
3,0.353897749137529,0.0279409893807951,PHATRDRAFT_54015,PHATRDRAFT_42245,PHATRDRAFT_28181
