Deletion size,Max growth rate,Min production rate,Deleted genes,,
1,0.348719504747393,0.0532845381230925,Phatr3_EG02584,,
2,0.353897749137526,0.0279409893806071,PHATRDRAFT_draft521,PHATRDRAFT_31544,
2,0.353897749137528,0.0279409893814438,PHATRDRAFT_draft521,PHATRDRAFT_54478,
2,0.353897749137529,0.0279409893805977,PHATRDRAFT_draft521,PHATRDRAFT_42245,
2,0.353897749137529,0.0279409893808315,PHATRDRAFT_draft521,PHATRDRAFT_22803,
2,0.353897749137529,0.0279409893808315,PHATRDRAFT_draft521,PHATRDRAFT_11319,
2,0.353897749137529,0.0279409893808315,PHATRDRAFT_draft521,PHATRDRAFT_41969,
2,0.353897749137529,0.0279409893808315,PHATRDRAFT_draft521,PHATRDRAFT_55069,
2,0.353897749137529,0.0279409893808873,PHATRDRAFT_draft521,PHATRDRAFT_23913,
2,0.353897749137551,0.0279409893802287,PHATRDRAFT_draft521,PHATRDRAFT_35580,
3,0.353897749137529,0.0279409893808315,PHATRDRAFT_draft521,PHATRDRAFT_18572,PHATRDRAFT_22418
3,0.353897749137528,0.0279409893807571,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_21970
3,0.353897749137536,0.0279409893779888,PHATRDRAFT_54015,PHATRDRAFT_11319,PHATRDRAFT_28181
3,0.353897749137536,0.0279409893779888,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_28181
